SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,c_frac,cstock
TL47 ALD Trench 2 20-40cm,TL47 ALD Trench 2 ,20,40,20,30,1.25,2.56,0.11608463,11.51136852,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0256,6.4
TL47 ALD Trench 2 40-80cm,TL47 ALD Trench 2 ,40,80,40,60,,1,0.116505412,8.618717852,0.309903284,0.010102031,0.133379652,442445.144,7207075.373,0.01,0
TL47 ALD Trench 2 80-120cm,TL47 ALD Trench 2 ,80,120,40,100,1.3,1.47,0.135363006,10.86954886,0.309903284,0.010102031,0.133379652,442445.144,7207075.373,0.0147,7.644
TL47 ALD Trench 1 0-10cm,TL47 ALD Trench 1,0,10,10,5,0.42,4,0.286346307,13.95632896,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.04,1.68
TL47 ALD Trench 1 10-20cm,TL47 ALD Trench 1,10,20,10,15,0.55,2.88,0.225207676,12.79705857,0.309903284,0.010102031,0.133379652,442445.144,7207075.373,0.0288,1.584
TL47 ALD Trench 1 20-40cm,TL47 ALD Trench 1,20,40,20,30,0.41,13.91,0.754875955,18.43207741,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.1391,11.4062
TL47 ALD Trench 1 60-80cm,TL47 ALD Trench 1,60,80,20,70,,2.43,0.204160815,11.91812473,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.0243,0
TL47 DoubleTree Pit 1 0-20cm,TL47 DoubleTree Pit 1,0,20,20,10,0.8,3.23,0.169233223,19.1021157,1.07793309,0.229545868,0.429400956,442376.25,7206509.194,0.0323,5.168
TL47 DoubleTree Pit 1 20-40cm,TL47 DoubleTree Pit 1,20,40,20,21,,1.92,0.143506711,13.41080093,0.214193506,0.026771108,0.187279883,442376.25,7206509.194,0.0192,0
TL47 DoubleTree Pit 1 40-90cm,TL47 DoubleTree Pit 1,40,90,50,65,1.3,2.56,0.186078448,13.74292836,0.214193506,0.026771108,0.187279883,442376.25,7206509.194,0.0256,16.64
TL47 DoubleTree Pit 1 90-130cm,TL47 DoubleTree Pit 1,90,130,40,110,1.4,1.61,0.126778879,12.6759158,0.214193506,0.026771108,0.187279883,442376.25,7206509.194,0.0161,9.016
