SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL47 NPF-6 0-17cm,TL47 NPF-6,0,17,17,8.5,0.55,6.19,0.342,18.07,0.79,0.23,0.97,442558.0278,7206537.794,8.5,0.0619,0.00342,5.78765,0.31977,17,1,5.78765,0.31977
TL47 NPF-6 17-40cm,TL47 NPF-6,17,40,12,28.5,0.9656695,1.45,0.097,14.91,0.47,0.06,0.4,442558.0278,7206537.794,28.5,0.0145,0.00097,1.68026493,0.11240393,23,1.916666667,3.220507783,0.215440865
TL47 NPF-6 40-70cm,TL47 NPF-6,40,70,25,55,1.0875,2.02,0.162,12.48,0.47,0.06,0.4,442558.0278,7206537.794,55,0.0202,0.00162,5.491875,0.4404375,10,0.4,2.19675,0.176175
TL47 NPF-8 0-15cm,TL47 NPF-8,0,15,15,7.5,0.55,2.23,0.173,12.91,0.47,0.06,0.4,442286.9891,7206509.583,7.5,0.0223,0.00173,1.83975,0.142725,15,1,1.83975,0.142725
TL47 NPF-8 15-30cm,TL47 NPF-8,15,30,15,22.5,0.81875,2.35,0.164,14.34,0.47,0.06,0.4,442286.9891,7206509.583,22.5,0.0235,0.00164,2.88609375,0.2014125,15,1,2.88609375,0.2014125
TL47 NPF-8 32-50cm,TL47 NPF-8,30,50,20,40,1.0875,1.83,0.181,10.08,0.47,0.06,0.4,442286.9891,7206509.583,40,0.0183,0.00181,3.98025,0.393675,20,1,3.98025,0.393675
TL47 PF Core 1 0-40cm,TL47 PF Core 1,0,40,40,20,2.501930534,14.311,,,,,,,,20,0.14311,,143.2205115,,40,1,143.2205115,
TL47 PF Core 1 0-18-1,TL47 PF Core 1,40,58,18,49,2.501930534,9.51,0.58,16.51,0.84,0.05,0.34,,,49,0.0951,0.0058,42.82804688,2.612015477,10,0.555555556,23.79335938,1.45111971
TL47-22-02-0-20cm,TL47-22-02,0,20,20,10,0.228,32.91,1.722,19.11,0.79,0.23,0.97,443327.4946,7206662.419,10,0.3291,0.01722,15.00696,0.785232,20,1,15.00696,0.785232
TL47 -22-02-20-40cm,TL47-22-02,20,40,20,30,0.5505,3.75,0.225,16.65,0.79,0.23,0.97,443327.4946,7206662.419,30,0.0375,0.00225,4.12875,0.247725,20,1,4.12875,0.247725
