SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL27-PF-16-25-45,TL27 PF Core 16,25.0,45.0,20.0,35.0,0.39982338,9.380644305,0.589395071,15.91045723,0.550635232,0.024686954,0.435072056,454923.3143,7178738.502,35.0,0.09380644305000001,0.00589395071,7.501201825205703,0.47130785888511995,20.0,1.0,7.501201825205703,0.47130785888511995
TL27-PF-16-45-60,TL27 PF Core 16,45.0,60.0,15.0,52.0,0.978736951,10.13984332,0.720696337,14.06380196,1.871421572,0.130503752,0.048716812,454923.3143,7178738.502,52.5,0.10139843320000001,0.0072069633700000005,14.886359001951778,1.0580582032083727,5.0,0.3333333333333333,4.962119667317259,0.3526860677361242
TL47 22-01 0-10cm,TL47 22-01,0.0,10.0,10.0,5.0,0.218,9.14,0.447,20.44,0.79,0.23,0.97,443320.1748,7206177.654,5.0,0.09140000000000001,0.00447,1.99252,0.097446,10.0,1.0,1.99252,0.097446
TL47 22-01 10-30cm,TL47 22-01,10.0,30.0,20.0,20.0,1.109,3.65,0.22,16.64,0.79,0.23,0.97,443320.1748,7206177.654,20.0,0.0365,0.0022,8.095699999999999,0.48796000000000006,20.0,1.0,8.095699999999999,0.48796000000000006
TL47-22-01 0-23,TL47 22-01,30.0,53.0,23.0,41.5,1.179920212,4.12,0.279,14.78,0.47,0.04,0.36,443320.1748,7206177.654,41.5,0.0412,0.0027900000000000004,11.180923928912001,0.7571548000404,20.0,0.8695652173913043,9.722542546880002,0.658395478296
TL47 22-03-0-15cm,TL47 22-03,0.0,15.0,15.0,7.5,0.303,27.48,1.125,24.42,0.79,0.23,0.97,443327.8756,7206682.477,7.5,0.2748,0.01125,12.489659999999997,0.5113125,15.0,1.0,12.489659999999997,0.5113125
TL47-22-03-15-50cm,TL47 22-03,15.0,50.0,35.0,32.5,1.5805089175,1.0,0.077,13.01,0.47,0.06,0.4,443327.8756,7206682.477,32.5,0.01,0.00077,5.531781211250001,0.42594715326625,35.0,1.0,5.531781211250001,0.42594715326625
TL47 ALD Border Pit 0-10cm,TL47 ALD Border Pit,0.0,10.0,10.0,5.0,0.255,27.98,1.420759094,19.69148043,0.214193506,0.026771108,0.187279883,442445,7207075.0,5.0,0.2798,0.014207590939999999,7.1349,0.36229356897,10.0,1.0,7.1349,0.36229356897
TL47 ALD Border Pit 10-20cm,TL47 ALD Border Pit,10.0,20.0,10.0,15.0,0.8025000000000001,27.98,0.15708711,13.83238438,0.309903284,0.010102031,0.133379652,442445,7207075.0,15.0,0.2798,0.0015708711,22.453950000000003,0.12606240577500002,10.0,1.0,22.453950000000003,0.12606240577500002
TL47 ALD Border Pit 20-40cm,TL47 ALD Border Pit,20.0,40.0,20.0,30.0,1.35,1.82,0.154792118,10.77861783,0.39449823,0.054284457,0.224980246,442445,7207075.0,30.0,0.0182,0.00154792118,4.914000000000001,0.41793871860000004,20.0,1.0,4.914000000000001,0.41793871860000004
TL47 ALD Border Pit 40-70cm,TL47 ALD Border Pit,40.0,70.0,30.0,55.0,1.3250000000000002,2.36,0.15630476,15.08679315,0.39449823,0.054284457,0.224980246,442445,7207075.0,55.0,0.0236,0.0015630476,9.381000000000002,0.621311421,10.0,0.3333333333333333,3.1270000000000007,0.207103807
TL47 ALD Pit 0-20cm,TL47 ALD Pit,0.0,20.0,20.0,10.0,1.0,1.03,0.103093568,10.0223929,0.39449823,0.054284457,0.224980246,442445,7207075.0,10.0,0.0103,0.00103093568,2.06,0.20618713600000002,20.0,1.0,2.06,0.20618713600000002
TL47 ALD Pit 20-40cm,TL47 ALD Pit,20.0,40.0,20.0,30.0,1.1,1.28,0.12046392,10.60539663,0.39449823,0.054284457,0.224980246,442445,7207075.0,30.0,0.0128,0.0012046392,2.8160000000000007,0.26502062400000004,20.0,1.0,2.8160000000000007,0.26502062400000004
TL47 ALD Pit 40-60cm,TL47 ALD Pit,40.0,60.0,20.0,50.0,1.58,0.88,0.110420992,7.965472144,0.214193506,0.026771108,0.187279883,442445,7207075.0,50.0,0.0088,0.0011042099199999999,2.7808000000000006,0.34893033472,10.0,0.5,1.3904000000000003,0.17446516736
