SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry
fglb1m,TL47,7206554.575,443057.3292,0.03125,0.080773579,POINT (443057.3292 7206554.575)
C03F6B,TL27,7180164.3,454098.503,,1.039655132,POINT (454098.503 7180164.3)
C12F41,Tl27,7178679.632,455058.053,,1.604659842,POINT (455058.053 7178679.632)
C3602C,TL27,7179622.081,454427.333,,5.632973671,POINT (454427.333 7179622.081)
C819B3,TL27,7179637.912,454406.337,,,POINT (454406.337 7179637.912)
CB7FCE,TL27,7180165.575,454099.654,,2.610402734,POINT (454099.654 7180165.575)
CBE511,TL27,7180118.41,454123.829,,2.573071486,POINT (454123.829 7180118.41)
CE9F5A,TL27,7178919.719,454824.91,,1.519083029,POINT (454824.91 7178919.719)
CF296B,TL27,7180102.519,454161.051,,2.125173268,POINT (454161.051 7180102.519)
D0BAA7,TL27,7178930.808,454851.876,,,POINT (454851.876 7178930.808)
D143AB,TL27,7178886.251,454859.131,,,POINT (454859.131 7178886.251)
D28D94,TL27,7178912.701,454813.325,,,POINT (454813.325 7178912.701)
D53691,TL27,7178789.085,454920.926,,1.778316116,POINT (454920.926 7178789.085)
D764A5,TL27,7179619.236,454421.003,,,POINT (454421.003 7179619.236)
D7ABBF,TL27,7180103.829,454135.274,,,POINT (454135.274 7180103.829)
D8A1E3,TL27,7179633.639,454394.141,,1.845077255,POINT (454394.141 7179633.639)
DB47B8,TL27,7179608.165,454428.062,,2.574596455,POINT (454428.062 7179608.165)
DCBCB1,TL27,7179623.614,454426.912,,1.384302335,POINT (454426.912 7179623.614)
E1DF40,TL27,7180161.798,454099.528,,1.978145541,POINT (454099.528 7180161.798)
E21A87,TL27,7178863.117,454875.32,,,POINT (454875.32 7178863.117)
E3F3FD,TL27,7178825.818,454905.336,,1.044953713,POINT (454905.336 7178825.818)
E423BD,TL27,7180112.62,454120.088,,1.630461604,POINT (454120.088 7180112.62)
E5EE35,TL27,7178678.163,455056.677,,5.540923732,POINT (455056.677 7178678.163)
E65185,TL27,7178679.039,455055.755,,3.453965041,POINT (455055.755 7178679.039)
E67801,TL27,7178760.974,454912.739,,4.02109551,POINT (454912.739 7178760.974)
E86314,TL27,7180151.051,454103.836,,2.731227835,POINT (454103.836 7180151.051)
EADE17,TL27,7178767.154,454923.579,,1.475416447,POINT (454923.579 7178767.154)
EFC9D8,TL27,7179607.219,454374.403,,3.697860605,POINT (454374.403 7179607.219)
EFDE24,TL27,7180134.272,454114.091,,2.826228925,POINT (454114.091 7180134.272)
F04271,TL27,7179640.063,454435.395,,2.876584536,POINT (454435.395 7179640.063)
F110AA,TL27,7179616.715,454414.277,,0.702040757,POINT (454414.277 7179616.715)
F40DE4,TL27,7179617.086,454422.161,,0.954535645,POINT (454422.161 7179617.086)
F51C1C,TL27,7178952.306,454814.274,,,POINT (454814.274 7178952.306)
F61D0C,TL27,7179605.448,454398.089,,0.680954632,POINT (454398.089 7179605.448)
F66C3B,TL27,7180090.487,454135.898,,,POINT (454135.898 7180090.487)
F7A63A,TL27,7178680.584,455056.543,,3.729763978,POINT (455056.543 7178680.584)
F79DB5,TL27,7179586.102,454439.942,,4.917146389,POINT (454439.942 7179586.102)
F79F97,TL27,7179626.121,454414.545,,,POINT (454414.545 7179626.121)
F93D02,TL27,7180163.412,454100.784,,,POINT (454100.784 7180163.412)
FA2FF8,TL27,7179644.117,454419.824,,0.88324734,POINT (454419.824 7179644.117)
FAE6A9,TL27,7180103.93,454129.374,,0.973311903,POINT (454129.374 7180103.93)
FBAC7F,TL27,7179664.296,454391.662,,3.389221002,POINT (454391.662 7179664.296)
FBBC88,TL27,7178921.932,454836.251,,,POINT (454836.251 7178921.932)
FD0CD8,TL27,7178935.846,454862.214,,,POINT (454862.214 7178935.846)
