,SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry,slope,drainagearea,curv,ndvi,pf,Name,Unnamed: 1,Probe length [m],Permafrost depth [m],MAT1 [°C],Fluxes [m3/yr],Mean displacement in top 50cm [mm]
25,C_20,TL47,7206808.464,442378.281,-0.164,0.243909462,POINT (442378.281 7206808.464),18.223125,133.26863,0.01181786,0.6890057,1,C_20,,1.6,0.9,-2.600888244,0.109663078,0.150663764
26,C_21,TL47,7206816.571,442361.346,-0.14,0.431020138,POINT (442361.346 7206816.571),16.154457,193.98427,0.004043594,0.67427814,1,C_21,P3,1.6,0.8,-3.064473032,0.22706269,0.333925491
27,C_22,TL47,7206820.08,442354.04,-0.3125,0.42317284,POINT (442354.04 7206820.08),15.300197,204.52216,0.007421797,0.67205715,1,C_22,,1.6,0.8,-3.217539831,0.159110075,0.264318555
28,C_25,,,,,,,,,,,,C_25,,1.8,1.1,-0.7705498,0.014828632,0.0113194
29,C_26,TL47,7206683.679,442343.414,-0.08,0.326202675,POINT (442343.414 7206683.679),15.700565,199.321,0.023046143,0.70417863,1,C_26,,1.8,>1.8,-0.239434556,0.184006397,0.222333479
30,C_27,TL47,7206684.726,442336.779,1.875,0.036731606,POINT (442336.779 7206684.726),12.633061,222.46872,-0.008552172,0.68643504,1,C_27,,1.6,>1.6,0.721720717,0.015672465,0.027623819
31,C_29,TL47,7206686.356,442328.646,3.9,0.009726043,POINT (442328.646 7206686.356),15.923935,209.5503,-0.011122914,0.69357944,1,C_29,,1.6,>1.6,1.145695167,0.015734162,0.018431036
32,D0BAA7,TL27,7178930.808,454851.876,,0.0,POINT (454851.876 7178930.808),6.0138416,194.3045,0.00089247,0.7855246,0,,,,,,,
33,D143AB,TL27,7178886.251,454859.131,,0.0,POINT (454859.131 7178886.251),6.102374,342.02475,1.31e-05,0.7351054,0,,,,,,,
34,D28D94,TL27,7178912.701,454813.325,,0.0,POINT (454813.325 7178912.701),5.537938,165.70439,0.00295435,0.7607077,0,,,,,,,
35,D53691,TL27,7178789.085,454920.926,,0.017783161,POINT (454920.926 7178789.085),3.0329928,142.85944,0.000803717,0.7941636,0,,,,,,,
36,D764A5,TL27,7179619.236,454421.003,,0.0,POINT (454421.003 7179619.236),11.149105,297.98392,0.001246314,0.73183125,0,,,,,,,
37,D7ABBF,TL27,7180103.829,454135.274,,0.0,POINT (454135.274 7180103.829),8.950123,3.507787,0.002850046,0.78662246,0,,,,,,,
38,D8A1E3,TL27,7179633.639,454394.141,,0.018450773,POINT (454394.141 7179633.639),4.58863,244.22113,3.61e-05,0.6811131,1,,,,,,,
39,DB47B8,TL27,7179608.165,454428.062,,0.025745965,POINT (454428.062 7179608.165),6.190961,178.74799,-0.003502083,0.77456266,0,,,,,,,
40,DCBCB1,TL27,7179623.614,454426.912,,0.013843023,POINT (454426.912 7179623.614),11.737065,214.36064,0.00048656,0.73432106,0,,,,,,,
41,E1DF40,TL27,7180161.798,454099.528,,0.019781455,POINT (454099.528 7180161.798),2.858881,20.822924,0.000381374,0.71843773,1,,,,,,,
42,E21A87,TL27,7178863.117,454875.32,,0.0,POINT (454875.32 7178863.117),4.997765,524.0364,-0.001094273,0.79491776,0,,,,,,,
43,E3F3FD,TL27,7178825.818,454905.336,,0.010449537,POINT (454905.336 7178825.818),5.0031953,444.2941,-0.001182222,0.817265,0,,,,,,,
44,E423BD,TL27,7180112.62,454120.088,,0.016304616,POINT (454120.088 7180112.62),4.257034,10.725335,0.000552089,0.77564687,0,,,,,,,
45,E5EE35,TL27,7178678.163,455056.677,,0.055409237,POINT (455056.677 7178678.163),2.78566,43.014484,0.000571444,0.68141866,0,,,,,,,
46,E65185,TL27,7178679.039,455055.755,,0.03453965,POINT (455055.755 7178679.039),2.4721224,44.705322,0.000541783,0.68121266,0,,,,,,,
47,E67801,TL27,7178760.974,454912.739,,0.040210955,POINT (454912.739 7178760.974),4.830884,157.22491,-6.24e-05,0.78173953,0,,,,,,,
48,E86314,TL27,7180151.051,454103.836,,0.027312278,POINT (454103.836 7180151.051),2.8567507,8.812191,0.003869216,0.7037843,1,,,,,,,
49,EADE17,TL27,7178767.154,454923.579,,0.014754164,POINT (454923.579 7178767.154),5.0820713,82.14909,0.000183354,0.7362674,0,,,,,,,
50,EFC9D8,TL27,7179607.219,454374.403,,0.036978606,POINT (454374.403 7179607.219),4.884633,179.41995,0.002770579,0.7420487,0,,,,,,,
51,EFDE24,TL27,7180134.272,454114.091,,0.028262289,POINT (454114.091 7180134.272),5.142466,7.3127117,0.002092353,0.72255206,1,,,,,,,
52,E_01,,,,,,,,,,,,E_01,,1.8,1.3,0.077357502,0.004471372,0.004744305
53,E_02,,,,,,,,,,,,E_02,,1.6,0.8,-1.148335276,0.003496151,0.005279311
54,E_03,TL47,7206551.433,443054.387,-0.164,0.008418468,POINT (443054.387 7206551.433),12.042094,143.84901,0.005038047,0.6620068,0,E_03,,1.8,1,-0.251789842,0.005787703,0.00713294
55,E_04,TL47,7206555.109,443058.144,-0.203,0.024108303,POINT (443058.144 7206555.109),11.8912325,116.46505,0.005649913,0.66363573,1,E_04,,1.8,0.8,-0.642474282,0.014302161,0.026845162
56,E_05,TL47,7206604.05,443056.112,-0.328,0.012178174,POINT (443056.112 7206604.05),11.334648,89.84507,0.016450668,0.6718685,1,E_05,,1.8,0.8,-2.504011116,0.005578196,0.002916976
57,E_07,TL47,7206611.445,443061.539,-0.234,0.001428359,POINT (443061.539 7206611.445),10.076984,165.46709,-0.007923182,0.6704381,1,E_07,,1.8,0.9,-1.410497972,0.011234048,0.007485262
