year,deepest_sensor_depth_m,ID,Easting [m],Northing [m],deepest_always_above_zero,deepest_always_below_zero,mean_T_50cm [°C],mean_T_80cm [°C],mean_T_100cm [°C],deepest_0iso_m,ever_frozen,days_0iso_present,days_0iso_below_50cm,days_unfrozen_below_50cm,days_unfrozen,days_frozen_all,days_active_layer,notes,site
2022,-1.3,EFC9D8,454374.403,7179607.219,FALSE,FALSE,0.069570552,0.065344773,0.087286014,-1.299999999,TRUE,295,182,132,19,31,111,,TL27
2022,-1.3,EFDE24,454114.091,7180134.272,FALSE,TRUE,-1.246754087,-1.269499633,-1.187953734,-1.196581197,TRUE,190,147,43,0,155,131,,TL27
2022,-1.3,F04271,454435.395,7179640.063,FALSE,FALSE,1.022103794,0.724407832,0.631426697,-1.299999999,TRUE,261,179,143,61,23,64,,TL27
2022,-1.9,F110AA,454414.277,7179616.715,FALSE,FALSE,-0.410177524,-0.431390917,-0.443529174,-1.9,TRUE,225,198,32,5,115,61,,TL27
2022,-1.7,F40DE4,454422.161,7179617.086,TRUE,FALSE,1.450523566,1.418826657,1.479539159,,FALSE,0,,,87,0,,no_permafrost_possible,TL27
2022,-1.9,F61D0C,454398.089,7179605.448,FALSE,FALSE,-0.50521419,-0.3749548,-0.274143039,-1.9,TRUE,284,182,108,6,55,78,,TL27
2022,-1.3,F79DB5,454439.942,7179586.102,TRUE,FALSE,2.475239844,2.539044082,2.499867793,,FALSE,0,,,102,0,,no_permafrost_possible,TL27
2022,-1.3,F7A63A,455056.543,7178680.584,FALSE,TRUE,-0.588154264,-0.304796991,-0.224939489,-0.911384615,TRUE,208,118,130,0,137,142,,TL27
2022,-1.7,FA2FF8,454419.824,7179644.117,FALSE,TRUE,-1.225918892,-1.225959365,-1.112615046,-1.053634085,TRUE,197,140,57,0,148,132,,TL27
2022,-1.7,FAE6A9,454129.374,7180103.93,TRUE,FALSE,0.606895696,0.731156397,0.919341591,,FALSE,0,,,48,0,,no_permafrost_possible,TL27
2022,-1.7,FBAC7F,454391.662,7179664.296,FALSE,FALSE,0.704037709,0.405313319,0.30528112,-1.689215686,TRUE,215,155,108,48,82,62,,TL27
2022,-1.7,FD0E0C,,,TRUE,FALSE,0.396050111,0.665562261,0.785989658,,FALSE,0,,,6,0,,no_permafrost_possible,TL27
