SampleName,SampleLocationName,Top_cm,Bottom_cm,depthInterval,%C,stdev%C,%N,stdev%N,C/N,stdevC/N,lat,lon,ele,BD_measurement_cm,BulkDensity_gcm3,X,Y,3m,30m_total_curv,3m_slope,15m_plan_curv,Hillshade,15m_slope,15m_gauss_curv,3m_profile_curv,3m_total_curv,30m_gauss_curv,15m_mean_curv,15m,3m_gauss_curv,15m_total_curv,30m_profile_curv,3m_mean_curv,15m_profile_curv,30m_plan_curv,Slope3m,Aspect,30m_slope,30m,3m_plan_curv,Drainage_areaQuinn_15m,30m_mean_curv
KR_Pit3_230-235cm,KR_Pit3,170,235,10,5.57,1.05,0.373,0.11,14.92,0.3,65.43106601,-164.703612,214.1035,235,0.679619048,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_20-22cmBD,KR_Pit4,0,22,10,26.18,0.39,1.123,0.05,23.32,0.22,65.43106601,-164.703612,214.1035,22,0.266468385,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_30cmBD,KR_Pit4,22,30,10,9.09,0.39,0.445,0.05,20.43,0.22,65.43106601,-164.703612,214.1035,30,0.666997136,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_41cm,KR_Pit4,30,41,10,5.25,1.05,0.203,0.11,25.91,0.3,65.43106601,-164.703612,214.1035,41,0.403380952,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_55cm,KR_Pit4,41,55,10,8.8,1.05,0.515,0.11,17.11,0.3,65.43106601,-164.703612,214.1035,55,0.423571429,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_67cm,KR_Pit4,55,67,10,4.98,1.05,0.22,0.11,22.64,0.3,65.43106601,-164.703612,214.1035,67,0.458142857,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_105cm,KR_Pit4,67,105,10,7.46,1.05,0.418,0.11,17.84,0.3,65.43106601,-164.703612,214.1035,105,0.360761905,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_135cm,KR_Pit4,105,135,10,13.01,0.39,0.673,0.05,19.34,0.22,65.43106601,-164.703612,214.1035,135,0.476,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_145cm,KR_Pit4,145,145,10,4.88,0.39,0.242,0.05,20.19,0.22,65.43106601,-164.703612,214.1035,145,0.602571429,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_190cm,KR_Pit4,190,190,10,2.83,0.39,0.161,0.05,17.58,0.22,65.43106601,-164.703612,214.1035,190,0.482428571,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
